Portal,updated_at,name,plan_type,effective_price
Falabella,2025-08-01 12:30:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 12:30:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 12:30:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 12:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 13:00:01,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 13:00:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 13:00:01,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 13:00:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 13:00:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 13:00:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 13:00:01,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 13:00:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 13:30:01,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 13:30:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 13:30:01,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 13:30:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 13:30:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 13:30:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 13:30:01,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 13:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 14:00:01,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 14:00:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 14:00:01,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 14:00:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 14:00:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 14:00:01,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 14:00:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 14:30:02,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 14:30:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 14:30:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 14:30:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 14:30:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 14:30:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 14:30:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 15:00:02,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 15:00:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 15:00:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 15:00:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 15:00:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 15:00:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 15:00:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 15:00:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 15:30:02,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 15:30:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 15:30:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 15:30:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 15:30:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 15:30:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 15:30:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 15:30:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 16:00:02,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 16:00:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 16:00:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 16:00:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 16:00:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 16:00:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 16:00:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 16:00:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 16:30:02,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 16:30:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 16:30:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 16:30:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 16:30:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 16:30:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 16:30:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 16:30:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 17:00:02,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 17:00:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 17:00:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 17:00:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 17:00:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 17:00:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 17:00:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 17:00:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 17:30:02,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 17:30:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 17:30:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 17:30:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 17:30:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 17:30:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 17:30:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 17:30:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 18:00:02,Bci,Full Cobertura,47988.0
Falabella,2025-08-01 18:00:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 18:00:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 18:00:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 18:00:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 18:00:02,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 18:00:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 18:30:02,Bci,Full Cobertura,47988.0
Falabella,2025-08-01 18:30:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 18:30:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 18:30:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 18:30:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 18:30:02,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 18:30:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 19:00:02,Bci,Full Cobertura,47988.0
Falabella,2025-08-01 19:00:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 19:00:02,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-01 19:00:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 19:00:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 19:00:02,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 19:00:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 19:30:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-01 19:30:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 19:30:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-01 19:30:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 19:30:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 19:30:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 19:30:01,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 19:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 20:00:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-01 20:00:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 20:00:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-01 20:00:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 20:00:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 20:00:01,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 20:00:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 20:30:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-01 20:30:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 20:30:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-01 20:30:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 20:30:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 20:30:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 20:30:01,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 20:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 21:00:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-01 21:00:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 21:00:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-01 21:00:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 21:00:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 21:00:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 21:00:01,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 21:00:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 21:30:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-01 21:30:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 21:30:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-01 21:30:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 21:30:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 21:30:01,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 21:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 22:00:01,Bci,Full Cobertura,47988.0
Falabella,2025-08-01 22:00:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 22:00:01,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-01 22:00:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 22:00:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 22:00:01,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 22:00:01,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 22:00:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 22:30:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 22:30:02,Consorcio,Full Cobertura,41289.0
Falabella,2025-08-01 22:30:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 22:30:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 22:30:02,Sura,Full Cobertura,34816.0
Falabella,2025-08-01 22:30:02,Zenit,Full Cobertura,44120.0
Falabella,2025-08-01 22:30:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 23:00:02,Bci,Full Cobertura,47988.0
