Portal,updated_at,name,plan_type,effective_price
Falabella,2025-08-01 06:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 07:00:01,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 07:00:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 07:00:01,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 07:00:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 07:00:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 07:00:01,Sura,Full Cobertura,39664.0
Falabella,2025-08-01 07:00:01,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 07:00:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 07:30:01,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 07:30:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 07:30:01,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 07:30:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 07:30:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 07:30:01,Sura,Full Cobertura,39615.0
Falabella,2025-08-01 07:30:01,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 07:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 08:00:01,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 08:00:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 08:00:01,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 08:00:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 08:00:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 08:00:01,Sura,Full Cobertura,41500.0
Falabella,2025-08-01 08:00:01,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 08:00:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 08:30:01,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 08:30:01,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 08:30:01,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 08:30:01,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 08:30:01,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 08:30:01,Sura,Full Cobertura,42479.0
Falabella,2025-08-01 08:30:01,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 08:30:01,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 09:00:02,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 09:00:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 09:00:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 09:00:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 09:00:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 09:00:02,Sura,Full Cobertura,36505.0
Falabella,2025-08-01 09:00:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 09:00:02,Zurich,Full Cobertura,32172.0
Falabella,2025-08-01 09:30:02,Bci,Full Cobertura,47376.0
Falabella,2025-08-01 09:30:02,Cardif,Full Cobertura,30849.0
Falabella,2025-08-01 09:30:02,Consorcio,Full Cobertura,37414.0
Falabella,2025-08-01 09:30:02,Fid,Full Cobertura,33151.0
Falabella,2025-08-01 09:30:02,Hdi,Full Cobertura,35869.0
Falabella,2025-08-01 09:30:02,Sura,Full Cobertura,42367.0
Falabella,2025-08-01 09:30:02,Zenit,Full Cobertura,43532.0
Falabella,2025-08-01 10:00:02,Bci,Full Cobertura,47376.0
