run_id,portal,scraped_at,insurers_returned,rows,status
123,Falabella,2025-08-03 09:00:02,7,7,success
124,Falabella,2025-08-03 09:30:02,7,7,success
125,Falabella,2025-08-03 10:00:02,8,8,success
126,Falabella,2025-08-03 10:30:02,8,8,success
127,Falabella,2025-08-03 11:00:01,7,7,success
128,Falabella,2025-08-03 11:30:01,8,8,success
129,Falabella,2025-08-03 12:00:01,8,8,success
130,Falabella,2025-08-03 12:30:01,8,8,success
131,Falabella,2025-08-03 13:00:01,8,8,success
132,Falabella,2025-08-03 13:30:01,6,6,success
133,Falabella,2025-08-03 14:00:02,8,8,success
134,Falabella,2025-08-03 14:30:02,8,8,success
135,Falabella,2025-08-03 15:00:02,8,8,success
136,Falabella,2025-08-03 15:30:02,8,8,success
137,Falabella,2025-08-03 16:00:01,8,8,success
138,Falabella,2025-08-03 16:30:01,8,8,success
139,Falabella,2025-08-03 17:00:01,8,8,success
140,Falabella,2025-08-03 17:30:01,8,8,success
141,Falabella,2025-08-03 18:00:01,8,8,success
142,Falabella,2025-08-03 18:30:01,8,8,success
143,Falabella,2025-08-03 19:00:02,8,8,success
144,Falabella,2025-08-03 19:30:02,8,8,success
145,Falabella,2025-08-03 20:00:02,8,8,success
146,Falabella,2025-08-03 20:30:02,8,8,success
147,Falabella,2025-08-03 21:00:02,8,8,success
148,Falabella,2025-08-03 21:30:02,8,8,success
149,Falabella,2025-08-03 22:00:01,6,6,success
150,Falabella,2025-08-03 22:30:01,7,7,success
151,Falabella,2025-08-03 23:00:01,8,8,success
152,Falabella,2025-08-03 23:30:01,8,8,success
153,Falabella,2025-08-04 00:00:01,8,8,success
154,Falabella,2025-08-04 00:30:01,8,8,success
155,Falabella,2025-08-04 01:00:01,8,8,success
156,Falabella,2025-08-04 01:30:01,8,8,success
157,Falabella,2025-08-04 02:00:01,7,7,success
158,Falabella,2025-08-04 02:30:02,7,7,success
159,Falabella,2025-08-04 03:00:02,7,7,success
160,Falabella,2025-08-04 03:30:02,8,8,success
161,Falabella,2025-08-04 04:00:02,8,8,success
162,Falabella,2025-08-04 04:30:02,8,8,success
163,Falabella,2025-08-04 05:00:01,8,8,success
164,Falabella,2025-08-04 05:30:01,7,7,success
165,Falabella,2025-08-04 06:00:01,8,8,success
166,Falabella,2025-08-04 06:30:01,8,8,success
167,Falabella,2025-08-04 07:00:01,8,8,success
168,Falabella,2025-08-04 07:30:01,8,8,success
169,Falabella,2025-08-04 08:00:02,8,8,success
170,Falabella,2025-08-04 08:30:02,8,8,success
171,Falabella,2025-08-04 09:00:02,8,8,success
